filename,width,height,xmin,ymin,xmax,ymax
1-01,720,720,213,240,525,378
10-01,720,720,285,214,444,355
100-01,720,720,235,272,434,388
101-01,720,720,228,303,394,432
101-02,720,720,397,317,554,411
102-01,720,720,230,246,492,550
103-01,720,720,264,251,479,366
104-01,720,720,235,164,480,335
104-02,720,720,441,433,506,492
105-01,720,720,293,296,444,409
105-02,720,720,297,453,340,490
106-01,720,720,144,168,511,475
106-02,720,720,492,141,605,305
107-01,720,720,230,286,456,459
108-01,720,720,270,198,442,326
108-02,720,720,232,261,305,328
108-03,720,720,513,187,572,219
108-04,720,720,266,573,384,695
108-05,720,720,672,481,720,544
109-01,720,720,337,244,451,337
109-02,720,720,282,362,454,528
109-03,720,720,60,428,228,522
11-01,720,720,223,245,466,489
110-01,720,720,224,290,638,411
110-02,720,720,82,184,180,211
111-01,720,720,337,265,425,319
111-02,720,720,237,318,402,470
111-03,720,720,11,489,92,596
112-01,720,720,176,171,513,301
113-01,720,720,90,142,595,459
114-01,720,720,271,260,403,373
115-01,720,720,230,275,454,394
116-01,720,720,295,265,530,411
116-02,720,720,90,478,181,573
117-01,720,720,280,270,404,517
117-02,720,720,271,49,379,87
118-01,720,720,155,151,504,595
119-01,720,720,188,212,395,389
119-02,720,720,144,597,302,720
12-01,720,720,278,373,535,639
120-01,720,720,242,346,492,440
121-01,720,720,159,230,331,352
121-02,720,720,270,368,498,547
121-03,720,720,523,498,580,558
122-01,720,720,260,288,476,430
123-01,720,720,459,267,641,436
124-01,720,720,169,32,269,80
124-02,720,720,213,236,504,492
124-03,720,720,456,329,575,450
124-04,720,720,513,218,554,247
124-05,720,720,519,33,607,146
124-06,720,720,60,184,150,243
124-07,720,720,237,0,273,25
125-01,720,720,293,302,461,410
125-02,720,720,180,73,272,107
125-03,720,720,184,111,279,150
126-01,720,720,226,284,461,416
126-02,720,720,479,147,560,211
126-03,720,720,0,209,48,235
127-01,720,720,357,306,537,398
127-02,720,720,221,329,326,411
